<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLOSE>__abs_energy,<CLOSE>__median,<CLOSE>__mean,<CLOSE>__root_mean_square,<CLOSE>__maximum,<CLOSE>__absolute_maximum,<CLOSE>__minimum,<CLOSE>__benford_correlation,<CLOSE>__quantile__q_0.1,<CLOSE>__quantile__q_0.2,<CLOSE>__quantile__q_0.3,"<CLOSE>__fft_coefficient__attr_""abs""__coeff_0",<VOL>__quantile__q_0.6,<OPEN>__quantile__q_0.1,"<OPEN>__fft_coefficient__attr_""real""__coeff_0","<LOW>__fft_coefficient__attr_""real""__coeff_0","<LOW>__fft_coefficient__attr_""abs""__coeff_0"
2007-09-04,0.0,0.0,6.626905235257441e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2560151181341996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316199635219193e-05,3.316199635219193e-05
2007-09-05,6.609385327160933e-05,0.006805837314311836,0.0,0.0060878771836950785,0.0013994494021469833,1.856057772587522e-05,0.006092715231788002,0.006092715231788002,0.006092713307857959,0.006087877183694999,0.006087877183694999,0.006097560975609679,0.08300658569305383,0.006096591210305813,0.006095621753418772,0.00609465260480145,0.003046357615894001,0.0013994494021469,6.615287930403528e-05,3.306331625060172e-05,0.0,0.0
2007-09-06,0.005816259087904785,0.006936718801125563,0.004373757455268412,0.006683430386447864,0.0009862635492506456,2.2369618783276634e-05,0.006688741721854248,0.006688741721854248,0.006688739609713657,0.006683430386447798,0.006683430386447798,0.006694061505832393,0.08300658569305383,0.006692996872183583,0.006691932577122809,0.0066908686204885754,0.003344370860927124,0.0009862635492506,0.005821453378758186,0.002909571830054492,0.0021886917592439112,0.0021886917592439112
2007-09-07,0.006146728354262998,0.016687389568745492,0.006361829025844978,0.015285865537321364,0.00317250746821556,0.0001170145307218973,0.015298013245033076,0.015298013245033076,0.015298008414295685,0.015285865537321296,0.015285865537321296,0.015310180275715764,1.0,0.015307745321528883,0.015305311141736421,0.015302877735969014,0.007649006622516538,0.0031725074682155,0.006152217775278516,0.0030748884113075774,0.003183551649809303,0.003183551649809303
2007-09-08,0.014738929279576984,0.02296970093580264,0.013717693836978184,0.01925622022233986,0.002513943043675803,0.00018569568553929869,0.019271523178807884,0.019271523178807884,0.019271517093333506,0.019256220222339797,0.019256220222339797,0.01928685047720036,1.0,0.019283783067380524,0.019280716633096513,0.019277651173883026,0.009635761589403942,0.0025139430436758,0.014752092084807893,0.007373119523888196,0.006864533244901327,0.006864533244901327
2007-09-10,0.018374091209517496,0.018257967410509723,0.01848906560636182,0.01839597670725257,9.498525353938801e-06,0.0001694749159931726,0.01841059602649005,0.01841059602649005,0.018410590212875354,0.018395976707252498,0.018395976707252498,0.018425238600212075,1.0,0.018422308222446043,0.0184193787766352,0.018416450262335033,0.009205298013245026,9.4985253539388e-06,0.01839050044653182,0.009191601917672284,0.009252196982258317,0.009252196982258317
2007-09-11,0.020026437541308617,0.022642497218768376,0.01875414181577212,0.019917946003176312,0.0006079056226520833,0.00019867756409993202,0.0199337748344371,0.0199337748344371,0.019933768539839893,0.019917946003176295,0.019917946003176295,0.01994962884411454,1.0,0.019946456025022544,0.01994328421498994,0.019940113413535444,0.00996688741721855,0.000607905622652,0.020044322429133673,0.010018184823937811,0.009384844967667085,0.009384844967667085
2007-09-12,0.020621282220753434,0.027223349257247564,0.020278330019880775,0.025344097406034993,0.0018569617066950357,0.0003216720919223228,0.025364238410595985,0.025364238410595985,0.025364230401191564,0.025344097406034893,0.025344097406034893,0.025384411452810136,0.5105672012826505,0.025380374277686434,0.02537633838651538,0.025372303778684574,0.012682119205297993,0.001856961706695,0.020639698342870303,0.010315754670193385,0.010147570883767193,0.010147570883767193
2007-09-13,0.02524785194976864,0.027223349257247564,0.02220013253810471,0.02514557967178399,0.0012078958075092175,0.00031665257840456307,0.02516556291390717,0.02516556291390717,0.0251655549672396,0.025145579671783894,0.025145579671783894,0.025185577942735835,0.5105672012826505,0.02518157239039378,0.025177568111947303,0.0251735651067888,0.012582781456953586,0.0012078958075092,0.02527039989415532,0.01263018680773678,0.01110926877798043,0.01110926877798043
2007-09-14,0.02471910112359549,0.0246711602643806,0.020675944333996055,0.022366331392271066,0.0009735988487787272,0.0002505239416014307,0.022384105960264855,0.022384105960264855,0.022384098891913177,0.022366331392270997,0.022366331392270997,0.022401908801696666,0.5105672012826505,0.02239834596829768,0.02239478426799529,0.02239122370024904,0.011192052980132428,0.0009735988487787,0.024741176859722717,0.012365680277731805,0.010346542861880272,0.010346542861880272
