<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140604,000000,1246.6,1247.9,1240.2,1246.4,74951
20140605,000000,1246.5,1249.5,1242.5,1243,67265
20140606,000000,1242.9,1257.9,1241.2,1254.8,117299
20140607,000000,1254.8,1258.2,1245.7,1252.4,87873
20140609,000000,1252.9,1256,1251.6,1255.3,15368
20140610,000000,1255.3,1257.3,1250.1,1254,52872
20140611,000000,1254.1,1263.8,1252.4,1262.5,78099
20140612,000000,1262.5,1265.5,1258.6,1261.8,65798
20140613,000000,1261.9,1277.6,1261.8,1273.4,126849
20140614,000000,1273.4,1278.1,1271.6,1276,52982
20140616,000000,1276.8,1285.1,1276.5,1280.9,29672
20140617,000000,1280.8,1283,1262.8,1264.8,96842
20140618,000000,1264.9,1272.8,1258,1268.3,91855
20140619,000000,1268.3,1282.5,1267.1,1281.3,91823
20140620,000000,1281.4,1322.5,1281.2,1309.2,242794
20140621,000000,1309.3,1320.5,1308.3,1314.8,101125
20140623,000000,1314.9,1318.1,1310.5,1316.1,26908
20140624,000000,1316.1,1326,1310.4,1323.8,90549
20140625,000000,1323.9,1326.6,1305.4,1314.5,114668
20140626,000000,1314.5,1325.6,1308.8,1311.8,122968
20140627,000000,1311.9,1323.1,1306.8,1316.7,116469
20140628,000000,1316.7,1321.9,1313.2,1316,62724
20140630,000000,1316.7,1318.4,1312.7,1313.6,21253
20140701,000000,1313.6,1334.9,1311,1327.1,125006
20140702,000000,1327.2,1332.6,1325.2,1326.7,95808
20140703,000000,1326.7,1333.2,1320.7,1322.9,110096
20140704,000000,1323,1324.3,1309.4,1322.2,116903
20140705,000000,1322.3,1323.1,1320.3,1321.3,9296
20140707,000000,1321.4,1321.7,1313.2,1315.1,22372
20140708,000000,1315.1,1321.3,1312.1,1320.3,64412
20140709,000000,1320.4,1327,1314.3,1324.4,106507
20140710,000000,1324.4,1333.4,1322.3,1331.3,112057
20140711,000000,1331.4,1346.8,1331.3,1337.8,129856
20140712,000000,1337.8,1340.4,1334.6,1340,47177
20140714,000000,1340.4,1340.9,1316.2,1322,54649
20140715,000000,1322.1,1324.5,1302.2,1311.1,146209
20140716,000000,1311.1,1314.4,1292.6,1298.1,144720
20140717,000000,1298.1,1308.8,1295.8,1302.9,87646
20140718,000000,1302.8,1325.9,1299.3,1310,165966
20140719,000000,1310,1312.8,1305,1311.4,65459
20140721,000000,1311,1315.5,1307.9,1315,16161
20140722,000000,1314.9,1319,1305,1308.2,71460
20140723,000000,1308.1,1316.8,1302.2,1308.8,104430
20140724,000000,1308.7,1311.8,1295.2,1297.6,89150
20140725,000000,1297.6,1301.7,1287.5,1292.7,116907
20140726,000000,1292.8,1308.9,1292.5,1308.5,72794
20140728,000000,1307.8,1309.4,1301.1,1305.1,34809
20140729,000000,1305,1312.1,1301.8,1308.8,61156
20140730,000000,1308.9,1310.3,1295.5,1298.6,66581
20140731,000000,1298.8,1303,1291,1296.4,13197
20140801,000000,1296.8,1297.3,1280.6,1285.6,21287
20140802,000000,1285.6,1298.4,1281,1295.2,108513
20140804,000000,1294.6,1296.4,1292.5,1295.1,13343
20140805,000000,1295.1,1295.9,1287,1293.4,61371
20140806,000000,1293.3,1295,1283.3,1291.7,92020
20140807,000000,1291.7,1311,1289,1304.9,151780
20140808,000000,1304.8,1324.3,1303,1318.1,149279
20140809,000000,1318,1320.5,1305.7,1310.6,78881
20140811,000000,1310.4,1312.9,1306.4,1309.8,17323
20140812,000000,1309.8,1314.9,1306.8,1312.5,58431
20140813,000000,1312.5,1319.3,1307.3,1310.3,89123
20140814,000000,1310.3,1319.8,1306,1316.3,96106
20140815,000000,1316.3,1321.8,1310,1314.8,83864
20140816,000000,1314.8,1316.5,1293,1305.5,168262
20140818,000000,1304.5,1304.7,1298.4,1303.5,21521
20140819,000000,1303.5,1304.9,1296.5,1302,64908
20140820,000000,1302,1303.7,1293.5,1295.1,71901
20140821,000000,1295.1,1299.3,1274.9,1281.6,109404
