<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190322,000000,1317.7,1318.6,1302.8,1311.3,274333
20190323,000000,1311.4,1314.7,1309.3,1313.4,148541
20190325,000000,1313.3,1317.6,1310.6,1317.2,47644
20190326,000000,1317.1,1324.5,1315.2,1316.2,216053
20190327,000000,1316.1,1318.4,1312.1,1315.6,188429
20190328,000000,1315.6,1318.8,1305.8,1307,105946
20190329,000000,1306.9,1307.7,1287.7,1294.7,86019
20190330,000000,1294.7,1304.6,1294.5,1297,185913
20190401,000000,1297.2,1298.5,1292.6,1295.3,67907
20190402,000000,1295.2,1301.7,1289.5,1290.9,205371
20190403,000000,1290.9,1298.1,1290.6,1296.7,174346
20190404,000000,1296.8,1299,1292.7,1295.4,148432
20190405,000000,1295.5,1298.7,1284.9,1292.9,245750
20190406,000000,1292.9,1297.4,1288.3,1295.9,175311
20190408,000000,1295.8,1302.1,1295.5,1301.4,59556
20190409,000000,1301.3,1307.9,1300.3,1305.4,187995
20190410,000000,1305.4,1310.4,1304.3,1308.3,176401
20190411,000000,1308.3,1314.7,1304.7,1308.3,219272
20190412,000000,1308.3,1308.8,1292.9,1296.8,299594
20190413,000000,1296.9,1299.1,1293.2,1293.5,128930
20190415,000000,1294,1295.2,1288.7,1289.3,66443
20190416,000000,1289.3,1293.1,1285.3,1287.3,175350
20190417,000000,1287.2,1287.9,1275.5,1278.7,317093
20190418,000000,1278.6,1280.2,1273,1277.9,210703
20190419,000000,1277.8,1279.7,1274.5,1277.9,140171
20190422,000000,1278,1281.9,1277.4,1280.9,47850
20190423,000000,1281,1281.8,1273.8,1275,140013
20190424,000000,1275,1275.7,1267.9,1275.4,249903
20190425,000000,1275.4,1280.7,1271.9,1278.9,234313
20190426,000000,1278.9,1285.4,1277.1,1284.2,223894
20190427,000000,1284.2,1290.9,1276,1288.4,211798
20190429,000000,1289,1289.1,1282.7,1284.4,57422
20190430,000000,1284.4,1287,1279.9,1285.6,193249
20190501,000000,1285.6,1288.2,1279.2,1282.6,218734
20190502,000000,1282.6,1289.4,1271.3,1271.8,285291
20190503,000000,1271.8,1274.2,1267.3,1271.3,220265
20190504,000000,1271.3,1283.9,1269,1280.2,222116
20190506,000000,1281.8,1287.4,1281.8,1283.7,89720
20190507,000000,1283.7,1284.9,1278.1,1283.1,198674
20190508,000000,1283.2,1289.2,1279.1,1288.3,226730
20190509,000000,1288.4,1292.8,1280.2,1285.7,278388
20190510,000000,1285.7,1289.2,1280.9,1285.9,258289
20190511,000000,1285.9,1290.3,1285.1,1286.8,136048
20190513,000000,1288.3,1289.2,1282.4,1284.2,58707
20190514,000000,1284.2,1304.2,1283.3,1298.1,339048
20190515,000000,1298.1,1300.4,1293.6,1299.5,195191
20190516,000000,1299.6,1301.7,1295,1296.3,216694
20190517,000000,1296.3,1297.2,1284.2,1286.9,243255
20190518,000000,1287,1287.4,1274.6,1277.4,188620
20190520,000000,1277.6,1278.7,1273.7,1274.7,52052
20190521,000000,1274.8,1278.8,1273.3,1274.8,158337
20190522,000000,1274.7,1275.9,1269,1274,173645
20190523,000000,1274,1277.1,1272.1,1275.3,161936
20190524,000000,1275.3,1287.1,1274.7,1281.7,270614
20190525,000000,1281.6,1284.5,1280.1,1284.3,110734
20190527,000000,1283.5,1286.9,1283.2,1285.4,28242
20190528,000000,1285.4,1285.9,1281.4,1284,59310
20190529,000000,1284,1284.9,1275.1,1283.2,173204
