<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20071025,000000,761.8,768.5,757.7,766.8,45559
20071026,000000,766.7,773.5,765.5,773.4,51039
20071027,000000,773.4,789.5,773.3,789.1,66325
20071029,000000,788,793.8,787.7,791.5,3900
20071030,000000,791.6,798.3,788.6,789.7,77714
20071031,000000,789.9,790.9,780,782.1,54996
20071101,000000,782.1,802.5,781.9,800.1,63382
20071102,000000,800,800.8,786.7,794.7,64661
20071103,000000,794.7,811,790.7,810.1,72083
20071105,000000,810.6,810.7,805.5,806.5,3233
20071106,000000,806.3,814.2,803.5,811.6,51898
20071107,000000,811.4,834.8,810,832.9,78388
20071108,000000,833,848,825.6,835.8,112010
20071109,000000,835.8,847.8,829.2,837.3,83871
20071110,000000,837.2,838.8,828.5,833.7,70466
20071112,000000,831.5,833.6,823.2,825.2,6229
20071113,000000,825.3,879.5,791.7,804.6,113439
20071114,000000,804.4,810.4,794,804,85003
20071115,000000,804,819.2,803.7,817.8,74179
20071116,000000,817.8,819.4,783,791.4,106438
20071117,000000,791.3,798.4,784,787.3,65926
20071119,000000,788.3,794.9,788,792.6,4774
20071120,000000,792.6,793.9,775.7,776.2,61455
20071121,000000,776.2,806.7,773.4,801.7,86825
20071122,000000,801.7,808,795,802.7,67884
20071123,000000,802.8,808,801.5,807.6,10258
20071124,000000,807.5,826.1,807.2,824.3,58606
20071126,000000,823.5,829.3,822.9,827.3,6499
20071127,000000,827.1,837.2,820,824.9,77713
20071128,000000,825,829.4,807.4,810.8,80226
20071129,000000,810.5,810.8,791,802,74537
20071130,000000,802,807.8,791.9,798.4,18690
20071201,000000,798.2,800,778.4,790.3,3022
20071203,000000,789.4,794.9,789.1,793.6,2694
20071204,000000,793.8,800.9,783,797.5,52668
20071205,000000,797.5,811.7,792.6,809,66469
20071206,000000,809,813,797,799.3,62847
20071207,000000,799.3,811.5,790.9,807,71549
20071208,000000,806.9,811.1,796.7,800.5,57392
20071210,000000,801,802.5,799.5,802.2,1412
20071211,000000,802.1,818,801.6,812.7,53989
20071212,000000,812.7,819.3,801.5,808.3,59555
20071213,000000,808.4,822.8,806.2,816,62607
20071214,000000,815.9,817.7,796.8,807.4,68653
20071215,000000,807.4,808.5,792.4,799,63590
20071217,000000,798.8,803.6,797.6,802.5,2343
20071218,000000,802.6,802.6,789.6,798.5,48578
20071219,000000,798.4,811.4,794.7,806.7,59558
20071220,000000,806.6,809.3,802.2,804.4,37951
20071221,000000,804.5,806.5,797.3,802.7,43023
20071222,000000,802.7,816.6,801.4,815.7,56660
20071224,000000,815.5,815.9,812.3,813.5,1213
20071225,000000,813.3,819.7,812.2,816.2,18647
20071226,000000,816.3,816.5,811.6,814,1482
20071227,000000,814,830.2,813.4,826.4,44143
20071228,000000,826.4,835.5,825.5,833,52605
20071229,000000,833,844.6,829.8,844.4,44989
20071231,000000,843.2,847.4,842.9,845.3,2397
20080101,000000,845.5,847.2,833.2,837.3,31643
20080102,000000,837.5,842.4,837.5,841.8,1705
20080103,000000,841.6,864.8,838.1,859.7,70730
20080104,000000,859.4,872.9,856.5,867.7,83406
20080105,000000,867.9,871.8,857.2,862.9,67436
20080107,000000,862.8,865.5,860.9,862,2746
20080108,000000,861.8,867.8,857.8,859.2,37130
20080110,000000,891.2,893.9,873.8,884.2,76316
20080111,000000,884.2,899.9,867.8,893.1,88532
20080112,000000,893.5,900.1,888.8,897.9,66869
20080114,000000,899,900.6,896.2,899,2544
20080115,000000,899.2,915.9,893.1,910.9,95126
20080116,000000,910.9,915.9,888.6,897.7,99831
20080117,000000,897.7,901,875,881.5,106535
20080118,000000,881.5,891.4,872.3,872.6,69825
20080119,000000,872.5,889.4,870.6,883.8,65556
20080121,000000,882,884.2,878,881,2107
20080122,000000,881,883.9,855.2,859.5,53145
20080123,000000,859.6,895.6,849.5,887.8,101058
20080124,000000,887.8,896.5,876.6,889.9,83501
20080125,000000,889.8,927.4,889.5,910.4,86862
20080126,000000,910.5,924.3,906.2,914.1,74838
20080128,000000,912.5,920.4,911.3,918.2,5907
20080129,000000,918.1,930,915.5,928.3,67905
20080130,000000,928.5,933.3,919.4,923.9,58282
20080131,000000,923.3,936.3,915.3,923.8,19787
20080201,000000,923,932.9,918.3,930.5,3898
20080202,000000,930.4,941.8,908,910.5,88771
20080204,000000,910.5,917.4,908.5,916.2,4022
20080205,000000,916,916.6,896,909.4,83768
20080206,000000,909.4,909.4,888.4,892.1,93854
20080207,000000,892.1,912,890,905.2,74070
20080208,000000,905.2,916,900.1,912.9,79626
20080209,000000,912.9,927.3,912,927.1,57408
20080211,000000,924.1,927.8,922.8,927.6,3293
20080212,000000,927.4,931,919.6,925.7,53642
20080213,000000,925.7,928.5,905.5,907.5,83089
20080214,000000,907.5,914.4,899.5,910.3,75398
20080215,000000,910.3,917.3,904.8,912,63530
20080216,000000,911.9,919,900.6,905,60045
20080218,000000,905.1,910.2,904.5,908.8,2118
20080219,000000,908.7,911,903.2,910.1,15377
20080220,000000,910.2,934.4,909.4,929.1,90168
20080221,000000,929,949.2,916.1,944.1,85597
20080222,000000,944.1,957.8,941,946.9,76366
20080223,000000,947,953,938.4,947.1,55758
20080226,000000,952.5,953.5,935.5,937.2,53972
20080227,000000,937.2,979.5,928.9,956.9,70388
20080228,000000,956.7,967.7,954.4,959.5,79890
20080229,000000,959.3,976,955.5,973.2,67888
20080301,000000,973.2,978.5,966.5,976.7,68397
20080303,000000,975.6,983.3,975.5,982.9,5985
20080304,000000,982.8,991.8,980.2,987.7,74048
20080305,000000,987.6,990.3,958.3,967.8,79647
20080306,000000,967.7,995.2,960.7,987.8,86228
20080307,000000,987.8,994.3,966.5,983.6,94883
20080308,000000,983.7,990.6,971.1,974.7,78179
20080310,000000,975.3,978.9,972.1,974.3,3129
20080310,000000,974.3,982.8,961.9,974.8,71688
20080312,000000,975,987.8,966,975.4,78695
20080313,000000,975.5,985.9,969.5,985.8,59420
20080314,000000,985.8,1001.4,982.7,994.9,76774
20080315,000000,995.1,1009,991.7,1003.3,65903
20080317,000000,1004.5,1023.8,1002,1022.5,13914
20080318,000000,1022.6,1033.9,994.3,996.7,108289
20080319,000000,996.7,1013.4,976.9,987.7,76649
20080320,000000,987.5,997.8,915,920,128948
20080321,000000,920.2,939,904.7,910.1,118972
20080324,000000,918.3,921.6,911.5,915.1,5348
20080325,000000,914.8,927.5,906.2,918.8,48975
20080326,000000,918.9,942.2,918.4,940.2,65493
20080327,000000,940.5,955.2,934.7,953.8,74090
20080328,000000,953.9,954.9,940,946,52030
20080329,000000,946.3,946.8,921.8,929.2,18504
20080331,000000,931,931,926.4,926.5,334
20080401,000000,927.8,940.1,912,918.3,2392
20080402,000000,918,919.8,873.4,890.3,2768
20080403,000000,890.1,911.5,885.1,907.8,75049
20080404,000000,908,913.1,892.2,909.3,67452
20080405,000000,909,919,903,917.3,59895
20080407,000000,917,921.3,916.8,920.8,1577
20080408,000000,920.8,933.6,914.4,925.5,56240
20080409,000000,925.3,929.7,911.4,919.7,64553
20080410,000000,919.7,939.6,906.6,935.9,72891
20080411,000000,935.7,943.4,925,932.4,73489
20080412,000000,932.4,935.8,920.5,928.3,57565
20080414,000000,924.2,924.9,918,918.6,2971
20080415,000000,918.7,935.4,917.5,928.7,53639
20080416,000000,928.7,939.8,928,931.8,64312
20080417,000000,931.6,952.5,927.3,946.6,74068
20080418,000000,946.5,956.2,940.3,944.8,67675
20080419,000000,945,949.8,907.3,919.3,98181
20080421,000000,920.1,923.6,920.1,922.2,1177
20080422,000000,922.3,931.9,914,918.7,73825
20080423,000000,918.6,928.5,914.4,920.6,59075
20080424,000000,920.6,925.7,899.4,904.8,90096
20080425,000000,904.6,909.3,885,888.3,81734
20080426,000000,888.3,899,880,888.5,73115
20080428,000000,890,893.2,888.8,891.4,988
20080429,000000,891.4,898.1,889.4,896.2,42315
20080430,000000,889.3,896,870.6,875.2,64919
20080501,000000,875.2,880.8,864.1,877.5,85909
20080502,000000,877.2,883.6,848.5,856.3,86428
20080503,000000,856.4,860.8,846.5,858,70536
20080505,000000,859.2,863.7,858.7,863.1,1715
20080506,000000,863.1,876.7,861.2,873.7,49333
20080507,000000,873.6,884.5,873,880,60581
20080508,000000,880.1,883.3,864.5,867.5,57044
20080509,000000,867.5,887,866.4,884.6,69298
20080510,000000,884.4,890.8,871,885.8,61295
20080512,000000,884.3,889.8,882.7,889.5,2001
20080513,000000,889.5,890.8,878.5,886,49751
20080514,000000,886,886.5,861,867,70499
20080515,000000,867,871.7,860,865.9,60047
20080516,000000,865.5,888.5,862.3,882.8,89593
20080517,000000,882.8,905.5,880.5,902.4,79524
20080519,000000,903.2,906.2,902.6,906,2269
20080520,000000,906,914.2,900.5,903.8,60892
20080521,000000,903.9,924,903.2,919.3,63296
20080522,000000,919.2,934.9,916.5,932.9,68390
20080523,000000,933.2,935.4,917.2,919.5,65954
20080524,000000,919.6,929.3,914.7,924.8,46758
20080526,000000,924.8,926.3,923.4,926,257
20080527,000000,925.7,929,923.2,928.2,5066
20080528,000000,928.5,930.6,903.4,904.8,69709
20080529,000000,904.9,909.2,888.3,902.2,68119
20080530,000000,902.3,902.7,872.1,878.5,19213
20080531,000000,878,890.8,868.6,889.8,3026
20080602,000000,891.3,893.3,890.1,890.7,657
20080603,000000,890.9,901.1,884.4,896.3,57463
20080604,000000,896.3,900.6,878.5,884,64078
20080605,000000,884.1,890.1,879.2,880.9,58252
20080606,000000,880.7,883.2,867.7,882.5,89515
20080607,000000,882.4,905.6,880.8,905.3,63034
20080609,000000,906.1,907.9,905.5,907.2,1143
20080610,000000,907.2,912.5,893.4,896.2,72151
20080611,000000,896.4,897.9,866.7,871.9,81839
20080612,000000,871.8,885.9,870.2,884.3,56381
20080613,000000,884,884.9,804.5,872,93752
20080614,000000,872.1,876.7,861.5,873.7,57571
20080616,000000,872.6,874.9,871.7,873.9,602
20080617,000000,874,897.3,868.7,883.8,69332
20080618,000000,883.7,891,876.2,884.6,67650
20080619,000000,884.7,898.1,882.5,894.7,61962
20080620,000000,894.7,911,888.8,899,86571
20080621,000000,899,910.1,897.8,903.7,50732
20080623,000000,903.7,907.6,903.4,906.6,1126
20080624,000000,906.8,909.7,877.4,888.4,84909
20080625,000000,888.5,896.3,884.4,890.6,56465
20080626,000000,890.5,892.9,875.3,887,51312
20080627,000000,887.1,920.3,886.6,916.3,91304
20080628,000000,916.1,933,912.2,929.8,67980
20080630,000000,930.9,931.8,929.1,931.6,1264
20080701,000000,931.3,937.7,920.3,927.9,63411
20080702,000000,928.1,948.2,923.8,940.7,74617
20080703,000000,940.8,947.9,933.5,945.2,68435
20080704,000000,945.1,950,928,933.1,77131
20080705,000000,933.2,938.3,930.8,935.7,10619
20080707,000000,934.9,935.1,932.8,933.3,606
20080708,000000,933.3,933.6,916.4,926.2,49829
20080709,000000,930.1,935.3,913.5,919.4,57198
20080710,000000,924.5,930.4,917.6,929.7,44826
20080711,000000,929.8,949.2,926.4,945.3,61361
20080712,000000,945.3,969,942.6,965.4,80399
20080714,000000,966.8,968,962.6,967.2,4108
20080715,000000,967.1,976.4,954.2,972.4,74058
20080716,000000,972.4,989.5,969.3,975.8,84373
20080717,000000,975.8,982.5,958.3,961.8,74525
20080718,000000,961.8,980,953.1,959.2,93664
20080719,000000,959.2,965,950,955.4,68292
20080721,000000,957.3,959.6,955.7,958.9,779
20080722,000000,958.7,969,957.7,967.3,46620
20080723,000000,967.1,977,942.1,947.4,75892
20080724,000000,947.3,949.3,917.5,922.2,87808
20080725,000000,923.2,931.4,915.9,927.2,64013
20080726,000000,931.8,935.2,918.5,929.2,55289
20080728,000000,929,930.5,927.3,928.7,868
20080729,000000,928.7,932.9,922.4,931.6,31146
20080730,000000,931.7,933,913.6,917.1,41263
20080731,000000,917.1,918.1,893.3,898.8,31870
20080801,000000,911.7,925.6,907.5,917.2,3426
20080802,000000,916.3,920.3,906,914.7,3064
20080805,000000,909.9,913.6,897.8,898.4,4821
20080806,000000,897.9,898.1,876.7,879.3,4816
20080807,000000,879.8,890.2,876.3,885.8,2981
20080808,000000,885.2,888.4,870.8,876.4,2177
20080809,000000,872.4,874.1,854.2,859.3,4605
20080811,000000,860.3,865.4,858.5,861.1,117
20080812,000000,861.2,868.5,821.1,824.3,3312
20080813,000000,824.3,829.6,804.6,814.4,4770
20080814,000000,817.6,832.4,809,830.1,2169
20080815,000000,831,838.9,780,797.2,3851
20080816,000000,798.2,802.3,774,788.4,4600
20080818,000000,792.6,797,791.7,792.3,75
20080819,000000,793.2,805.9,791.7,798.8,2015
20080820,000000,796.8,819.2,784.2,818.4,2574
20080821,000000,818.8,819.8,802.6,814.9,1922
20080822,000000,815.6,840.5,815.5,836.2,2334
20080823,000000,837.5,839.6,822.6,825.1,1805
20080825,000000,826.6,826.6,823.7,825.1,13
20080826,000000,821,827.7,817.2,821.5,2046
20080827,000000,820,831.8,808.1,824,2176
20080828,000000,826.9,837.4,824.5,830.2,1585
20080829,000000,830.9,845.7,826.9,834.7,1507
20080830,000000,835,840.1,831,832.1,1106
20080901,000000,838.1,838.1,835.2,835.2,56
20080902,000000,836.7,836.7,816,818.5,887
20080903,000000,816.5,818.1,791.6,806,2111
20080904,000000,804.3,808.8,792.5,805.1,1111
20080905,000000,804.4,815.3,791.5,791.9,998
20080906,000000,791.5,820.3,791.2,804.1,1609
20080908,000000,813.2,818.5,808.3,812.6,59
20080909,000000,812.1,818.5,797.4,800,1205
20080910,000000,801.7,805.6,766.3,768.5,1843
20080911,000000,769.1,783.8,748.9,750.4,1712
20080912,000000,754.9,757.9,736.9,750.5,1742
20080913,000000,752.4,766.4,748,765.9,1249
20080915,000000,770,780,770,778,90
20080916,000000,778.3,788,764.4,780.7,2098
20080917,000000,779.9,790.3,772.5,782.5,949
20080918,000000,785.2,870.2,778.2,870.2,1405
20080919,000000,870,921,841.5,860.9,2599
20080920,000000,860.9,877.9,824.5,873,1234
20080922,000000,877,883.7,875,877.9,108
20080923,000000,872.2,908.2,864,905.8,1141
20080924,000000,908.8,910,880.5,884.2,1068
20080925,000000,885.8,902.1,876,883.9,815
20080926,000000,881.8,894.4,864.1,882.8,1381
20080927,000000,883.7,910.4,867.8,877.5,829
20080929,000000,871.3,871.3,871,871,3
20080930,000000,871,918.1,866.4,904.8,276
20081001,000000,900.3,902,861.8,861.8,163
20081002,000000,878,887.5,869.2,869.2,74
20081003,000000,870.4,870.4,829,837.4,1844
20081004,000000,837.4,851.9,822.5,841.2,58915
20081006,000000,836,837.2,828.4,829.9,2587
20081007,000000,830.7,878.9,829,863.9,64298
20081008,000000,863.6,893.7,860.9,890.8,48391
20081009,000000,890.8,924.9,880.2,912.5,73345
20081010,000000,912.4,929,883,922.3,40374
20081011,000000,922.6,936.3,830,854.3,76352
20081013,000000,855.8,867.2,842.8,858.8,3201
20081014,000000,858.8,875,824.5,844.7,42790
20081015,000000,844.5,857.4,834.2,847,43282
20081016,000000,847.2,859.2,833.1,851,34138
20081017,000000,851.1,851.1,787.1,808,39581
20081018,000000,807.9,816.9,772.9,784.4,49953
20081020,000000,784.6,791.4,782.8,790,862
20081021,000000,790,811.8,786.3,797.5,38729
20081022,000000,798,805,766.4,773.8,58383
20081023,000000,773.8,776.4,720.4,723.6,64536
20081024,000000,723.2,735.2,695.2,725.4,69589
20081025,000000,725.5,750.3,681,736.4,70124
20081027,000000,735.1,740.8,732.7,740.7,2816
20081028,000000,740.8,747.8,707,733.1,35452
20081029,000000,732.7,759.3,724.1,749.9,47073
20081030,000000,750,775.3,736,766.2,49137
20081031,000000,766.2,778.3,729.9,730.9,44155
20081101,000000,731.5,741.7,717.1,725,41176
20081103,000000,727,734.8,726,732.2,2525
20081104,000000,732.2,739.5,721.9,727.5,37652
20081105,000000,727.4,770,721.8,758.3,25080
20081106,000000,758.3,764.3,735.8,738.7,60147
20081107,000000,738.5,760.4,725.5,729.5,62812
20081108,000000,729.6,744.9,728.1,737,41218
20081110,000000,739.8,753.1,738.4,750.7,4576
20081111,000000,750.6,768.9,740.8,743,58370
20081112,000000,742.8,749.9,725.5,735.1,51519
20081113,000000,735.3,738.4,708.3,713.3,53745
20081114,000000,713.4,739.2,698.2,728.7,54467
20081115,000000,728.7,753.6,724,742.9,57459
20081117,000000,740,744,736.1,741.8,3239
20081118,000000,741.8,748.7,729.6,737.4,44102
20081119,000000,737.4,745.4,730.3,739,37079
20081120,000000,738.9,763.7,731.4,736.3,52734
20081121,000000,736.3,753.3,735.7,746.5,47236
20081122,000000,746.7,802.6,745.5,802,72289
20081124,000000,802,807.1,794,794.9,4236
20081125,000000,794.7,830.1,786.2,815,69785
20081126,000000,815.3,833.5,803,811.8,66294
20081127,000000,811.8,822,806.8,812.7,18134
20081128,000000,812.9,816,809.8,812.1,691
20081129,000000,812.1,819,808.2,816.2,2240
20081201,000000,817.2,817.3,808.4,808.4,180
20081202,000000,808,811,763.4,776.8,5988
20081203,000000,776.7,788.2,761.8,777.8,48787
20081204,000000,777.7,783.5,764.2,772.3,41218
20081205,000000,772,789,763,769.2,47618
20081206,000000,769.2,773.3,741.2,756,60772
20081208,000000,755.2,763.9,754.1,761.9,2514
20081209,000000,761.8,782.8,760.6,771.1,47183
20081210,000000,771,780.7,762.5,777.7,41439
20081211,000000,778,813.9,776,805.5,71467
20081212,000000,805.4,835.3,802.5,819,73364
20081213,000000,819,829.7,807.5,822.9,55467
20081215,000000,825,832.4,824,831.7,3353
20081216,000000,831.3,843.6,821,835.5,55869
20081217,000000,835.3,860.7,830.2,850.6,52593
20081218,000000,850.5,883.6,847.2,864.2,77262
20081219,000000,864,879.6,845.8,850.9,70828
20081220,000000,850.9,854.6,830.1,839.1,45264
20081222,000000,839.4,849.4,836.7,847.9,3125
20081223,000000,847.9,853,840.4,846,38222
20081224,000000,845.9,849,829.8,839.9,34637
20081225,000000,840,849.6,835.4,848.1,16721
20081226,000000,847.4,847.4,843.4,846.5,449
20081227,000000,846.5,874,844.1,870.2,21153
20081229,000000,873,892,873,889.5,7976
20081230,000000,889.5,890.1,874.1,880.7,56238
20081231,000000,880.8,881.4,864.7,871,40728
20090101,000000,870.7,886,857.3,882,38870
20090102,000000,883,889.1,876.5,877,2181
20090103,000000,876.5,881.2,868.1,876,31901
20090105,000000,880.7,885.5,875.5,876.1,4591
20090106,000000,876.1,876.3,843.5,855,68301
20090107,000000,855.1,871.2,838.8,859,68399
20090108,000000,859,867.8,836,845.3,67809
20090109,000000,845.3,865.3,837.6,854.1,71466
20090110,000000,853.9,869.2,845.1,854.5,63971
20090112,000000,856.1,857.5,848.6,853,3080
20090113,000000,852.7,854.7,815.4,826.6,50223
20090114,000000,826.7,831.4,814,823,55406
20090115,000000,823,829.9,806.9,810.6,46322
20090116,000000,810,822.1,801.5,819.4,53842
20090117,000000,819.5,843.4,817.8,843.4,52979
20090119,000000,844.1,846.3,837.3,837.5,3587
20090120,000000,837.6,843,831.6,836.5,18191
20090121,000000,828.9,866.6,823.6,851,80181
20090122,000000,850.8,864.6,843.1,855,49727
20090123,000000,854.5,864,845.2,856,2662
20090124,000000,855.2,905.1,854.3,900,7687
20090126,000000,900,902.9,891.2,892.4,1103
20090127,000000,892.6,918.2,891.5,904.5,12166
20090128,000000,904.4,909.3,894.1,904.1,11093
20090129,000000,904,904.2,884,886,22379
20090130,000000,886,911.3,875.7,905.4,56084
20090131,000000,905.4,931.3,903.1,930,71388
20090202,000000,924.6,929,919,919.6,3643
20090203,000000,919.6,922.4,898.1,904.2,62440
20090204,000000,904.3,914.3,890.3,900.2,64818
20090205,000000,900.6,910.7,896.2,905.9,42931
20090206,000000,905.7,926.3,903.4,912.5,54964
20090207,000000,912.5,921.9,905.4,911.8,44206
20090209,000000,913.4,913.4,904.1,907.6,3399
20090210,000000,907.6,909.4,892,901,30884
20090211,000000,901,919.7,892,917.7,57057
20090212,000000,914,948.8,912,938.3,76431
20090213,000000,938.8,954,936.5,941.7,59055
20090214,000000,941.8,945.3,933.2,942.2,39707
20090216,000000,940.8,943.4,937.3,939.3,1901
20090217,000000,939.4,948.3,938,944.5,15230
20090218,000000,944.4,975.3,944,968.2,71827
20090219,000000,968.2,988.7,961.6,979.1,71107
20090220,000000,979.1,984.4,969.5,975,67669
20090221,000000,974.9,1007.5,971.5,993.1,74880
20090223,000000,994.3,997.6,990.6,992.3,4845
20090224,000000,992.3,999.5,976.6,987.9,58474
20090225,000000,987.6,997,960.2,965.4,63881
20090226,000000,965.2,979.5,945.2,953.6,72421
20090227,000000,953.7,957.6,932.2,940.8,60516
20090228,000000,940.7,964,927.4,940.2,49899
20090302,000000,940.3,954.6,939.6,950.9,6904
20090303,000000,950.8,959.5,922.5,931.9,60023
20090304,000000,931.9,933.2,905.7,912.5,60270
20090305,000000,912.4,923.7,900.4,914.5,53327
20090306,000000,914.5,937.4,908.1,934.1,36419
20090307,000000,934.4,945.5,930.7,939.2,38330
20090309,000000,941.2,942.8,935,940.5,2560
20090309,000000,940.4,940.9,911.4,918.4,34427
20090311,000000,918.5,921,891.1,894.1,44754
20090312,000000,894,913.8,892.6,912.1,35486
20090313,000000,912.2,931.2,907.2,922.8,38839
20090314,000000,922.8,941.1,919.6,928.5,34440
20090316,000000,928.3,929,923.3,928.5,2268
20090317,000000,928.5,930.6,915.3,923.4,28626
20090318,000000,923.4,924.8,911.5,914.2,31528
20090319,000000,914.1,950.1,883.9,932.4,57288
20090320,000000,932.3,963.5,926,952.3,71678
20090321,000000,952.3,967.8,946.7,953,46425
