<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070904,000000,674.7,674.9,674.5,674.9,0
20070905,000000,674.8,685.3,674.4,684.1,884
20070906,000000,683.5,685.5,681,685,623
20070907,000000,684,700.4,684,698,2004
20070908,000000,697,710,695.1,704,1588
20070910,000000,702.5,702.8,702.3,702.7,6
20070911,000000,705,709.5,702.7,705,384
20070912,000000,705.9,716.5,705,713.2,1173
20070913,000000,712.9,716.5,707.9,712.9,763
20070914,000000,712.1,712.6,705.6,708.7,615
20070915,000000,709.4,719.2,706.2,710.9,840
20070918,000000,713.8,722,711.1,717,506
20070919,000000,717.1,727.4,713.9,725.8,600
20070920,000000,725,727.1,721.5,722.7,437
20070921,000000,724,739.4,723.5,735.5,1251
20070922,000000,735.3,740.2,727.8,732,610
20070925,000000,732.2,737,726.8,730.8,773
20070926,000000,729.4,734.5,722.7,732.2,991
20070927,000000,731.1,736.3,726.5,728.2,930
20070928,000000,727.4,735.5,727.4,733.7,990
20070929,000000,736.7,744.5,735.6,744,143
20071002,000000,745.1,747.4,741.8,747.2,38
20071003,000000,734.2,739.9,726.5,739.1,1044
20071004,000000,739.3,742.5,732.3,734.5,66216
20071005,000000,734.3,744.7,726.9,741.6,102286
20071006,000000,741.6,750.7,732.7,748,89260
20071009,000000,747,747.2,736.7,737.5,41744
20071010,000000,737.6,746.3,732.2,743.4,64566
20071011,000000,743.4,751.9,743.1,746.7,67918
20071012,000000,746.7,759.3,746.6,754.3,91801
20071013,000000,754.2,757.6,750,754.9,62326
20071015,000000,754,755,752.7,753.3,415
20071016,000000,753.3,765.5,752.5,762.6,75266
20071017,000000,762.7,772,758.2,766.2,107969
20071018,000000,766.3,769.8,756.4,760.7,101866
20071019,000000,760.7,776.9,760.6,774.1,71007
20071020,000000,774.2,775,762.4,770.4,68813
20071022,000000,770.9,772.8,770.5,772.1,1533
20071023,000000,772,772.6,749,757.6,101196
20071024,000000,757.6,765.5,757,763.8,44713
