<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20090323,000000,950.5,957.5,950.5,951.3,2608
20090324,000000,951.2,958.1,936.2,942.7,36500
20090325,000000,943,944.6,916.9,931,59792
20090326,000000,930.9,943.3,918.4,935.7,5221
20090327,000000,935.4,948.5,933.7,933.8,7004
20090328,000000,933.5,938.8,921,924.8,14062
20090330,000000,926,927.4,922.6,925.2,476
20090331,000000,925.2,934.4,910.4,921.4,37651
20090401,000000,921.3,926.9,913.7,920.7,34543
20090402,000000,920.7,935.8,918.6,928.1,24975
20090403,000000,928.1,931.8,896.5,909.5,63736
20090404,000000,909.3,911.8,892.5,896.5,59176
20090406,000000,898,899.5,891.6,893.7,1946
20090407,000000,894.1,895.9,866.5,873.7,71377
20090408,000000,873.7,886.9,873.2,884.6,45459
20090409,000000,884.4,891.6,879.2,882.7,41928
20090410,000000,882.6,887.8,876,880.4,33798
20090413,000000,882.9,887.5,882.9,885.2,729
20090414,000000,885.3,901.2,883.8,896.1,33203
20090415,000000,896.2,899.7,887.1,890.8,34967
20090416,000000,890.8,897.3,888,892.1,26110
20090417,000000,892.6,895,873,877.3,44307
20090418,000000,877.2,877.7,865.7,870.2,45796
20090420,000000,870.2,871,868,870,693
20090421,000000,869.9,889.7,865.6,884.5,46855
20090422,000000,884.5,896.4,879.5,884.3,39168
20090423,000000,885.1,894.6,882.9,891.2,30398
20090424,000000,893,910.4,890.7,906.3,40071
20090425,000000,906.1,915.4,905.1,914.2,45075
20090427,000000,915,919,915,918.8,3227
20090428,000000,918.7,919.7,905.8,906.4,37217
20090429,000000,906.4,906.6,884.6,891.7,56851
20090430,000000,891.7,904,888.3,895.3,38741
20090501,000000,895.3,900.8,880.1,887,50805
20090502,000000,887.3,890.8,880.5,887.7,29302
20090504,000000,887.5,888.3,885.6,887.6,534
20090505,000000,887.5,908.1,886.2,903.6,65899
20090506,000000,903.6,916.7,893.2,898.3,149962
20090507,000000,898.2,913.5,896.6,911.2,62380
20090508,000000,911.1,926.5,909.1,913.9,68732
20090509,000000,913.7,920.7,905.6,916.9,39543
20090511,000000,916.9,918.3,913.5,918.3,869
20090512,000000,918.3,918.4,908.8,913.8,28467
20090513,000000,913.5,928.5,912.4,926.7,49782
20090514,000000,926.7,931.4,917.8,925.1,49095
20090515,000000,925.1,929.4,920.5,926.6,36988
20090516,000000,926.6,934.6,924.1,931.7,39890
20090518,000000,930.8,932.7,930,932,576
20090519,000000,932,934.1,915.2,919.5,48031
20090520,000000,919.5,929.9,918.3,926.4,39335
20090521,000000,926.5,940.9,925.3,937.6,50190
20090522,000000,937.7,957,936,953.1,61534
20090523,000000,952.9,962.9,950.1,957.3,55929
20090525,000000,959,959.8,959,959.4,66
20090526,000000,959.3,961.8,954.6,958.3,2479
20090527,000000,958.4,959.4,938.2,954.5,14205
20090528,000000,954.5,961.4,945.8,948.4,23112
20090529,000000,948.3,966.6,946.1,961.8,48902
20090530,000000,961.6,981.9,960.4,980.9,61303
20090602,000000,984,990.2,974.1,977,55428
20090603,000000,977,988.2,970.5,984.5,58960
20090604,000000,984.3,992.1,955.6,965.7,86233
20090605,000000,966,984.3,962,980.2,80803
20090606,000000,980.3,985,953.8,957.5,86352
20090608,000000,956.4,961.1,953.2,958,1953
20090609,000000,957.7,960.9,943.9,955.1,63998
20090610,000000,955,964.5,948.3,957,60613
20090611,000000,957.1,966.7,947.6,954.7,55212
20090612,000000,954.8,963.1,942.5,957.8,66356
20090613,000000,957.9,959.2,936.2,939.7,72974
20090615,000000,940.3,940.3,935.7,938.9,3064
20090616,000000,938.8,939.7,926.5,931.4,55569
20090617,000000,931.4,940.6,929.7,934.7,51460
20090618,000000,934.8,944,928.4,941.7,52798
20090619,000000,941.6,942.3,930.5,934,50931
20090620,000000,934,939.7,933.1,934.5,40449
20090622,000000,935,935.6,933.8,935.6,545
20090623,000000,935.6,935.6,911,922.5,66590
20090624,000000,922.6,927.5,913.2,925.6,57279
20090625,000000,925.7,944.4,922.8,932.7,79510
20090626,000000,932.9,940.4,930.3,939.8,47391
20090627,000000,939.8,949,936.6,939.2,51422
20090629,000000,940.7,940.9,933.6,938.6,1139
20090630,000000,938.7,943.2,934.6,939.1,40625
20090701,000000,939.2,945.4,923.2,929.5,63773
20090702,000000,929.4,947,927.9,941.5,68766
20090703,000000,941.5,941.6,926.6,931.7,56016
